0.1305,0.1172,0.2305,0.2297,0.1672,0.1906
0.1289,0.1242,0.2469,0.3367,0.2234,0.282
0.8766,0.118,0.2633,0.3891,0.2523,0.2914
0.1938,0.2031,0.3227,0.3867,0.3281,0.3867
0.1945,0.2031,0.3609,0.4062,0.3336,0.3844
0.2016,0.2078,0.3734,0.4148,0.3461,0.3867
0.2031,0.1953,0.3898,0.4242,0.3547,0.4016
0.1984,0.2016,0.3805,0.432,0.3578,0.4117
0.2047,0.2039,0.3781,0.4242,0.3742,0.4273
0.2328,0.2258,0.3953,0.4477,0.3805,0.4211
0.2289,0.2398,0.4164,0.4539,0.3969,0.432
0.232,0.2352,0.4133,0.5047,0.4086,0.4344
0.2313,0.2281,0.4156,0.493,0.4148,0.4422
0.2344,0.2398,0.4266,0.4813,0.432,0.4594
0.2422,0.2461,0.4266,0.4852,0.4211,0.457
0.2578,0.2664,0.4297,0.4883,0.4594,0.4516
0.2547,0.2648,0.4383,0.4734,0.4586,0.468
0.2562,0.2719,0.4352,0.4805,0.457,0.4703
0.2586,0.2703,0.4352,0.4891,0.4523,0.4695
0.2648,0.2773,0.4492,0.4969,0.4648,0.4711
0.2703,0.7133,0.4578,0.5016,0.4523,0.4883
0.2734,0.2859,0.4516,0.4953,0.4469,0.4836
0.7281,0.2844,0.4594,0.5086,0.4617,0.4664
0.3031,0.2945,0.4805,0.4867,0.4633,0.468
0.2984,0.2984,0.4578,0.5133,0.4516,0.5008
0.2992,0.3,0.468,0.507,0.4484,0.4891
0.3031,0.3,0.4742,0.5094,0.4625,0.4961
0.2977,0.3055,0.4938,0.5242,0.4578,0.4961
0.2969,0.6945,0.4852,0.5,0.4688,0.5141
0.3023,0.3016,0.4828,0.5125,0.4547,0.5
0.3008,0.3023,0.4836,0.5039,0.4711,0.4844
0.7039,0.3039,0.4836,0.4914,0.475,0.4852
0.7023,0.3023,0.4844,0.5055,0.4852,0.4766
0.2984,0.3,0.4953,0.4766,0.4852,0.4758
0.2953,0.2992,0.4844,0.4938,0.4742,0.5016
0.2969,0.3008,0.4867,0.5109,0.4922,0.5023
0.2984,0.3094,0.482,0.4914,0.4734,0.5
0.3,0.3164,0.482,0.4961,0.4797,0.5133
0.3172,0.3289,0.4688,0.4977,0.4688,0.5016
0.3328,0.3422,0.482,0.5,0.4875,0.5211
0.3305,0.3422,0.4664,0.5125,0.4914,0.5016
0.3383,0.357,0.4625,0.5,0.4813,0.4797
0.3352,0.357,0.4656,0.4828,0.4906,0.5016
0.3336,0.3578,0.475,0.4797,0.4992,0.5062
0.3484,0.3742,0.4805,0.4867,0.4898,0.5031
0.3531,0.3742,0.4688,0.4781,0.5055,0.4977
0.3547,0.3773,0.4578,0.4945,0.4914,0.5086
0.357,0.3766,0.4531,0.4828,0.5023,0.5031
0.3812,0.3648,0.4633,0.4898,0.5039,0.5039
0.3883,0.3758,0.4773,0.4758,0.5102,0.507
0.3867,0.3773,0.4734,0.4805,0.5109,0.5031
0.3953,0.3867,0.4383,0.4656,0.4875,0.5242
0.4062,0.3922,0.45,0.4617,0.5102,0.5203
0.407,0.3953,0.4398,0.4789,0.4891,0.5117
0.4078,0.3937,0.443,0.4734,0.4945,0.5203
0.4086,0.3937,0.4578,0.4547,0.4961,0.5188
0.4172,0.407,0.4109,0.4477,0.4969,0.5242
0.4242,0.4047,0.3883,0.4172,0.4836,0.4977
0.4289,0.4055,0.3719,0.4133,0.4938,0.4953
0.4211,0.4047,0.3516,0.4227,0.4977,0.5211
0.4367,0.425,0.3461,0.3805,0.5102,0.5266
0.4437,0.4234,0.3195,0.368,0.5047,0.5008
0.45,0.4398,0.343,0.3469,0.4992,0.5133
0.4492,0.4414,0.3016,0.3492,0.4797,0.4938
0.4711,0.4703,0.3508,0.3773,0.4695,0.4984
0.4711,0.4688,0.3391,0.3906,0.4852,0.5094
0.4758,0.468,0.3836,0.3984,0.4773,0.5
0.4953,0.5039,0.3992,0.4109,0.4945,0.5172
0.4938,0.5055,0.393,0.4156,0.4828,0.4711
0.4977,0.5141,0.4039,0.4141,0.4875,0.4883
0.4969,0.5094,0.4031,0.4297,0.4844,0.4984
